straat-label-altlabel
https://adamlink.nl/geo/street/achtergracht/38,Achtergracht,Achtergr
https://adamlink.nl/geo/street/achtergracht/38,Achtergracht,Achtergr.
https://adamlink.nl/geo/street/achtergracht/38,Achtergracht,Achtergracht
https://adamlink.nl/geo/street/achtergracht/38,Achtergracht,Achtergracht (fa. De Boer)
https://adamlink.nl/geo/street/achtergracht/38,Achtergracht,Achtergracht (opslagplaats De Boer)
https://adamlink.nl/geo/street/achtergracht/38,Achtergracht,Achtergrt
https://adamlink.nl/geo/street/achtergracht/38,Achtergracht,Agter Graft
https://adamlink.nl/geo/street/achtergracht/38,Achtergracht,achtergrt.
https://adamlink.nl/geo/street/admiraal-de-ruijterweg/51,Admiraal De Ruijterweg,A. de Ruijterweg
https://adamlink.nl/geo/street/admiraal-de-ruijterweg/51,Admiraal De Ruijterweg,A. de Ruyterw.
https://adamlink.nl/geo/street/admiraal-de-ruijterweg/51,Admiraal De Ruijterweg,Ad. de Ruyterweg
https://adamlink.nl/geo/street/admiraal-de-ruijterweg/51,Admiraal De Ruijterweg,Adm de Ruijterweg
https://adamlink.nl/geo/street/admiraal-de-ruijterweg/51,Admiraal De Ruijterweg,Adm de Ruyterweg
https://adamlink.nl/geo/street/admiraal-de-ruijterweg/51,Admiraal De Ruijterweg,Adm. d. Ruyterweg
https://adamlink.nl/geo/street/admiraal-de-ruijterweg/51,Admiraal De Ruijterweg,Adm. de Ruijterweg
https://adamlink.nl/geo/street/admiraal-de-ruijterweg/51,Admiraal De Ruijterweg,Adm. de Ruyterw.
https://adamlink.nl/geo/street/admiraal-de-ruijterweg/51,Admiraal De Ruijterweg,Adm. de Ruyterweg
https://adamlink.nl/geo/street/admiraal-de-ruijterweg/51,Admiraal De Ruijterweg,Adm.de Ruijterweg
https://adamlink.nl/geo/street/admiraal-de-ruijterweg/51,Admiraal De Ruijterweg,Adm.de Ruyterw.
https://adamlink.nl/geo/street/admiraal-de-ruijterweg/51,Admiraal De Ruijterweg,Adm.de Ruyterweg
https://adamlink.nl/geo/street/admiraal-de-ruijterweg/51,Admiraal De Ruijterweg,Adm.de Ryuterweg
https://adamlink.nl/geo/street/admiraal-de-ruijterweg/51,Admiraal De Ruijterweg,Admiraal De Ruijteerweg
